"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"01","Alabama","01033","Colbert","2013-2015","110.0","1","Non Detect",,"AL0000314","Colbert County Rural Water System","10731",
"01","Alabama","01043","Cullman","2013-2015","270.0","1","Non Detect",,"AL0000413","VAW Water System, Inc.","29985",
"01","Alabama","01049","DeKalb","2013-2015","110.0","1","Non Detect",,"AL0001422","Northeast Alabama Water System","42609",
"01","Alabama","01055","Etowah","2013-2015","90.0","1","Non Detect",,"AL0000577","Gadsden Waterworks & Sewer Board","44637",
"01","Alabama","01055","Etowah","2013-2015","100.0","1","Non Detect",,"AL0000588","Rainbow City Utilities Board","11748",
"01","Alabama","01055","Etowah","2013-2015","90.0","1","Non Detect",,"AL0000591","Southside Waterworks","10998",
"01","Alabama","01077","Lauderdale","2013-2015","80.0","1","Non Detect",,"AL0000783","Florence Water-Wastewater Department","66900",
"01","Alabama","01079","Lawrence","2013-2015","140.0","1","Non Detect",,"AL0000801","West Lawrence Water Co-op","14562",
"01","Alabama","01103","Morgan","2013-2015","230.0","1","Non Detect",,"AL0001092","West Morgan - East Lawrence Water Author","26130",
"04","Arizona","04013","Maricopa","2013-2015","200.0","1","Non Detect",,"AZ0407100","City of Tempe","165000",
"04","Arizona","04013","Maricopa","2013-2015","270.0","1","Non Detect",,"AZ0407046","Liberty Water LPSCO","45298",
"04","Arizona","04015","Mohave","2013-2015","332.0","1","Non Detect",,"AZ0408001","Oatman Water Company","129",
"06","California","06007","Butte","2013-2015","76.0","1","Non Detect",,"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435",
"06","California","06037","Los Angeles","2013-2015","91.0","1","Non Detect",,"CA1910042","PICO RIVERA - CITY, WATER DEPT.","39000",
"06","California","06059","Orange","2013-2015","98.0","1","Non Detect",,"CA3010001","CITY OF ANAHEIM","450000",
"06","California","06059","Orange","2013-2015","95.0","1","Non Detect",,"CA3010027","CITY OF ORANGE","138640",
"06","California","06059","Orange","2013-2015","73.3","1","Non Detect",,"CA3010037","YORBA LINDA WATER DISTRICT","77513",
"06","California","06065","Riverside","2013-2015","88.0","1","Non Detect",,"CA3310037","CORONA, CITY OF","155896",
"06","California","06065","Riverside","2013-2015","135.0","1","Non Detect",,"CA3310009","EASTERN MUNICIPAL WD","512711",
"06","California","06067","Sacramento","2013-2015","187.0","1","Non Detect",,"CA3410010","CALAM - SUBURBAN","111768",
"06","California","06077","San Joaquin","2013-2015","101.0","1","Non Detect",,"CA3910015","CITY OF LATHROP","12427",
"06","California","06107","Tulare","2013-2015","120.0","1","Non Detect",,"CA5410016","CWS - VISALIA","135923",
"08","Colorado","08041","El Paso","2013-2015","140.0","1","Non Detect",,"CO0121275","FOUNTAIN CITY OF","20000",
"08","Colorado","08041","El Paso","2013-2015","1,390.0","1","Non Detect",,"CO0121775","SECURITY WSD","19000",
"08","Colorado","08041","El Paso","2013-2015","258.0","1","Non Detect",,"CO0121900","WIDEFIELD WSD","18343",
"10","Delaware","10003","New Castle","2013-2015","1,940.0","1","Non Detect",,"DE0000552","Artesian Water Company","211494",
"12","Florida","12033","Escambia","2013-2015","445.0","1","Non Detect",,"FL1170525","EMERALD COAST UTILITIES AUTHORITY","249872",
"12","Florida","12085","Martin","2013-2015","180.0","1","Non Detect",,"FL4430259","STUART  CITY OF - WATER PLANT","19000",
"12","Florida","12101","Pasco","2013-2015","160.0","1","Non Detect",,"FL6512020","ZEPHYRHILLS CITY OF","21823",
"13","Georgia","13115","Floyd","2013-2015","190.0","1","Non Detect",,"GA1150002","Rome","45586",
"13","Georgia","13213","Murray","2013-2015","86.6","1","Non Detect",,"GA2130000","Chatsworth","29617",
"17","Illinois","17177","Stephenson","2013-2015","239.0","1","Non Detect",,"IL1770200","Freeport","26443",
"18","Indiana","18089","Lake","2013-2015","78.3","1","Non Detect",,"IN5245011","Dyer Water Department","16277",
"23","Maine","23031","York","2013-2015","290.0","1","Non Detect",,"ME0091410","SANFORD WATER DISTRICT","14025",
"25","Massachusetts","25001","Barnstable","2013-2015","492.0","1","Non Detect",,"MA4020004","HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE","18000",
"25","Massachusetts","25013","Hampden","2013-2015","203.0","1","Non Detect",,"MA1329000","WESTFIELD WATER DEPT","42000",
"27","Minnesota","27007","Beltrami","2013-2015","133.0","1","Non Detect",,"MN1040002","Bemidji","13560",
"27","Minnesota","27163","Washington","2013-2015","777.0","1","Non Detect",,"MN1820016","Oakdale","27378",
"33","New Hampshire","33017","Strafford","2013-2015","187.0","1","Non Detect",,"NH0651010","dover water dept","28000",
"34","New Jersey","34001","Atlantic","2013-2015","91.0","1","Non Detect",,"NJ0102001","ATLANTIC CITY MUA","150000",
"34","New Jersey","34003","Bergen","2013-2015","102.8","1","Non Detect",,"NJ0217001","FAIR LAWN WATER DEPT","32573",
"34","New Jersey","34003","Bergen","2013-2015","98.0","1","Non Detect",,"NJ0233001","MAHWAH WATER DEPARTMENT","24062",
"34","New Jersey","34003","Bergen","2013-2015","100.0","1","Non Detect",,"NJ0251001","RIDGEWOOD WATER","61700",
"34","New Jersey","34013","Essex","2013-2015","110.0","1","Non Detect",,"NJ0719001","SOUTH ORANGE WATER DEPARTMENT","16924",
"34","New Jersey","34039","Union","2013-2015","97.0","1","Non Detect",,"NJ2004002","NJ AMERICAN WATER - RARITAN","609305",
"36","New York","36071","Orange","2013-2015","161.5","1","Non Detect",,"NY3503580","NEW WINDSOR CONSOLIDATED WD","30000",
"36","New York","36071","Orange","2013-2015","170.0","1","Non Detect",,"NY3503549","NEWBURGH CITY","28000",
"36","New York","36103","Suffolk","2013-2015","82.0","1","Non Detect",,"NY5103704","HAMPTON BAYS WD","12500",
"36","New York","36103","Suffolk","2013-2015","530.0","1","Non Detect",,"NY5110526","SUFFOLK COUNTY WATER AUTHORITY","1100000",
"37","North Carolina","37081","Guilford","2013-2015","90.0","1","Non Detect",,"NC0241010","GREENSBORO, CITY OF","277080",
"37","North Carolina","37125","Moore","2013-2015","99.0","1","Non Detect",,"NC0363108","MOORE CO PUBLIC UTIL-PINEHURST","19368",
"39","Ohio","39035","Cuyahoga","2013-2015","400.0","1","Non Detect",,"OH1800403","City of Cleveland Heights","46000",
"39","Ohio","39057","Greene","2013-2015","235.0","1","Non Detect",,"OH2903412","Wright-Patterson AFB Area A/C","16551",
"42","Pennsylvania","42017","Bucks","2013-2015","206.1","1","Non Detect",,"PA1090128","DTMA MAIN SYSTEM","8655",
"42","Pennsylvania","42017","Bucks","2013-2015","1,439.0","1","Non Detect",,"PA1090069","WARMINSTER MUNICIPAL AUTHORITY","40000",
"42","Pennsylvania","42017","Bucks","2013-2015","785.1","1","Non Detect",,"PA1090070","WARRINGTON TWP WATERandSEW DEPT","18400",
"42","Pennsylvania","42043","Dauphin","2013-2015","401.0","1","Non Detect",,"PA7220015","SUEZ WATER","105649",
"42","Pennsylvania","42091","Montgomery","2013-2015","1,290.0","1","Non Detect",,"PA1460033","HORSHAM WATERandSEWER AUTHORITY","25000",
"44","Rhode Island","44007","Providence","2013-2015","81.0","1","Non Detect",,"RI1647530","Town of Cumberland","22864",
"53","Washington","53033","King","2013-2015","621.5","1","Non Detect",,"WA5336350","Issaquah Water System","24110",
"54","West Virginia","54003","Berkeley","2013-2015","86.1","1","Non Detect",,"WV3300212","MARTINSBURG CITY OF","15650",
"54","West Virginia","54107","Wood","2013-2015","129.0","1","Non Detect",,"WV3305411","VIENNA","12507",
"55","Wisconsin","55063","La Crosse","2013-2015","140.0","1","Non Detect",,"WI6320309","LA CROSSE WATERWORKS","53000",
