Country,Population,Conflict Count,Conflict Deaths,Conflict Death Rate
Afghanistan,32956936,1169.7777777777778,6669.777777777777,20.237857602350466
Albania,2900114,,,
Algeria,40026405,117.11111111111111,409.44444444444446,1.0229358455860436
Angola,25426102,25.352941176470587,245.05882352941177,0.9638080722299147
Antigua and Barbuda,92279,,,
Arab Rep of Egypt,92456224,,,
Argentina,43633470,,,
Armenia,3022275,3.0,5.5,0.1819821161211339
Aruba,104085,,,
Australia,24140741,,,
Austria,8557305,,,
Azerbaijan,9812656,14.5625,26.5,0.27005940083907964
The Bahamas,390416,,,
Bahrain,1386659,24.0,26.0,1.875010366643854
Bangladesh,161957600,19.333333333333332,33.111111111111114,0.020444308332002396
Barbados,284619,,,
Belarus,9489795,,,
Belgium,11335649,3.0,34.0,0.29993871546304934
Belize,363123,,,
Benin,11023185,,,
Bhutan,779560,1.0,0.0,0.0
Bolivia,10806839,9.0,50.0,0.4626699814811713
Bosnia and Herzegovina,3806404,,,
Botswana,2283415,,,
Brazil,208716876,6.294117647058823,36.64705882352941,0.017558263388116932
Brunei Darussalam,426057,,,
Bulgaria,7123749,,,
Burkina Faso,18369320,1.5,13.5,0.0734921053147313
Burundi,11365071,64.46666666666667,532.6666666666666,4.6868749580769595
Cote-d-Ivoire,22977830,17.933333333333334,171.4,0.745936409138722
Cabo Verde,523774,,,
Cambodia,15703317,1.8571428571428572,3.142857142857143,0.020013969932958387
Cameroon,23634389,22.6,281.4,1.1906379301787746
Canada,36114451,4.5,12.0,0.033227696026723486
Caribbean,43345763,,,
Central African Republic,4949280,56.44444444444444,491.27777777777777,9.926247409275245
Central America,173880011,,,
Central Asia,67813926,,,
Chad,14266812,13.266666666666667,396.06666666666666,2.7761399439949628
Channel Islands,164078,,,
Chile,18040273,,,
China,1379244905,5.0,58.6,0.00424870157486643
Hong Kong SAR-China,7317475,,,
Macao SAR China,592417,,,
Colombia,48444033,194.47058823529412,910.2352941176471,1.878942023917883
Comoros,797819,,,
Congo,4680312,126.94444444444444,2019.2777777777778,43.14408479130831
Costa Rica,4832775,,,
Croatia,4232565,,,
Cuba,11391861,,,
Curacao,157925,,,
Cyprus,1171019,,,
Czech Republic,10545215,,,
Dem Peoples Rep of Korea,25218790,,,
Dem Rep of Congo,78491334,,,
Denmark,5680117,,,
Djibouti,893751,1.5,18.0,2.0139837605776103
Dominican Republic,10588830,,,
Ecuador,16265553,1.0,17.666666666666668,0.10861399342934523
El Salvador,6136418,,,
Equatorial Guinea,857333,,,
Eritrea,5289226,5.333333333333333,625.0,11.816473714679615
Estonia,1310797,,,
Ethiopia,100623815,86.44444444444444,3062.1666666666665,3.0431828356603914
Federated States of Micronesia,104702,,,
Fiji,894906,,,
Finland,5514121,,,
France,64530488,1.5,56.5,0.08755551329473907
French Guiana,272171,,,
French Polynesia,284250,,,
FYR Macedonia,2080073,27.0,37.5,1.8028213432893943
Gabon,1744281,,,
The Gambia,2022910,,,
Georgia,3987931,6.4,130.2,3.2648508712914035
Germany,80689106,1.0,12.0,0.014871896089665437
Ghana,27723074,2.6666666666666665,30.0,0.10821310796919562
Greece,10935525,,,
Grenada,107075,,,
Guadeloupe,469518,,,
Guam,171009,,,
Guatemala,16508333,2.5555555555555554,17.77777777777778,0.10768972117159122
Guinea,12777923,6.454545454545454,94.9090909090909,0.742758356808778
Guinea-Bissau,1866426,2.0,0.0,0.0
Guyana,768796,3.0,29.0,3.772132009011494
Haiti,10780219,14.5,135.5,1.2569317933151452
Honduras,8132435,3.1,22.7,0.27912919070364534
Hungary,9837849,,,
Iceland,330583,,,
India,1318969007,634.7222222222222,1558.0555555555557,0.11812677532881223
Indonesia,259091099,95.75,408.5,0.1576665510998508
Islamic Republic of Iran,79583372,11.6,65.13333333333334,0.0818428921726681
Iraq,36991074,348.72222222222223,4282.611111111111,11.577417598394444
Ireland,4699887,,,
Israel,8128083,140.05882352941177,418.52941176470586,5.149177386164805
Italy,59797796,,,
Jamaica,2798325,9.0,46.0,1.6438405117346984
Japan,126447191,,,
Jordan,7674748,2.5,46.5,0.60588308567265
Kazakhstan,17744018,,,
Kenya,46651901,37.529411764705884,220.41176470588235,0.47246041421952417
Kiribati,113418,,,
Kuwait,3952959,1.0,26.0,0.6577351295573771
Kyrgyz Republic,5987493,,,
Lao PDR,6860103,2.8,18.6,0.27113295529236225
Latvia,1962570,,,
Lebanon,5931765,23.916666666666668,127.25,2.145229961065551
Lesotho,2147779,,,
Liberia,4559051,32.25,1530.5,33.570583000716596
Libya,6300666,111.0,1227.6666666666667,19.484712674289778
Lithuania,2862889,,,
Luxembourg,571866,,,
Madagascar,24574914,14.0,69.0,0.28077412600507984
Malawi,17481936,,,
Malaysia,30543141,14.0,70.0,0.22918402531029797
Maldives,366763,,,
Mali,17865797,23.153846153846153,178.69230769230768,1.000192197931655
Malta,419145,,,
Martinique,396416,,,
Mauritania,4117111,2.0,4.8,0.11658660648206957
Mauritius,1275387,,,
Mayotte,243262,,,
Melanesia,9714547,,,
Mexico,127830748,143.66666666666666,1268.6666666666667,0.9924581421260765
Micronesia,529053,,,
Moldova,4066047,,,
Mongolia,2983187,,,
Montenegro,625967,,,
Morocco,34600607,2.0,46.0,0.13294564456629332
Mozambique,28364668,4.714285714285714,14.714285714285714,0.051875402575787995
Myanmar,54130572,96.27777777777777,412.77777777777777,0.7625594234950589
Namibia,2486622,8.5,35.5,1.4276395849469683
Nepal,28683243,508.4,1156.0,4.0302276838082784
The Netherlands,16952509,,,
New Caledonia,264784,,,
New Zealand,4546614,,,
Nicaragua,6118110,,,
Niger,20306937,11.88888888888889,116.33333333333333,0.5728748423917075
Nigeria,184594601,164.16666666666666,2264.5,1.2267422707557953
Norway,5241959,,,
Oman,4582748,,,
Pakistan,190882344,314.0,2292.3529411764707,1.2009245554824446
Panama,3960285,,,
Papua New Guinea,7700722,3.75,35.5,0.4609957352050886
Paraguay,6679805,,,
Peru,31574187,6.0625,17.0625,0.05403939616877546
Philippines,101476890,141.55555555555554,626.6666666666666,0.6175461887594965
Poland,38605135,,,
Polynesia,686939,,,
Portugal,10326662,,,
Puerto Rico,3681650,,,
Qatar,2264961,1.0,0.0,0.0
Reunion,863932,,,
RB-de-Venezuela,31312942,26.4,19.0,0.06067778620098999
Rep of Korea,50402048,,,
Rep of Yemen,27156519,133.25,1415.8333333333333,5.213603898693103
Romania,19437509,,,
Russian Federation,143455266,173.61111111111111,723.0,0.5039898639900748
Rwanda,11745104,8.285714285714286,300.85714285714283,2.5615536725527743
St-Lucia,185663,,,
St-Vincent and the Grenadines,109532,,,
Samoa,193922,,,
Sao Tome and Principe,192372,,,
Saudi Arabia,31856375,18.428571428571427,55.142857142857146,0.17309834261700255
Senegal,15357605,8.76923076923077,33.61538461538461,0.21888428967527562
Serbia,8830647,1.0,0.0,0.0
Seychelles,96749,,,
Sierra Leone,6522473,26.333333333333332,310.0,4.752798516758904
Singapore,5650866,,,
Slovak Republic,5427798,,,
Slovenia,2068472,,,
Solomon Islands,589533,,,
Somalia,10929503,204.16666666666666,1269.7777777777778,11.617891296409159
South Africa,54740055,2.2,1.2,0.0021921790177229453
South Sudan,12541973,70.0,1245.2857142857142,9.928945902576206
Spain,46080822,4.875,29.75,0.06456048027962696
Sri Lanka,20764217,215.25,2300.8333333333335,11.080761356584423
West Bank and Gaza,4731710,,,
Sudan,40702142,128.05555555555554,2549.4444444444443,6.263661613790361
Suriname,545268,,,
Swaziland,1295506,,,
Sweden,9817348,,,
Switzerland,8340813,,,
Syrian Arab Rep,18498701,,,
Tajikistan,8575498,6.0,28.714285714285715,0.3348410286409689
Tanzania,54309340,4.0,20.0,0.036826078166296995
Thailand,68059304,151.0,221.52941176470588,0.32549467706091423
Timor-Leste,1198274,,,
Togo,7399873,93.0,436.0,5.891993011231409
Tonga,106516,,,
Trinidad and Tobago,1362663,,,
Tunisia,11314621,6.0,67.5,0.5965732303362172
Turkey,79170742,85.33333333333333,341.3888888888889,0.4312058726049187
Turkmenistan,5405729,,,
Uganda,39671777,87.46153846153847,616.2307692307693,1.553322830058178
Ukraine,44728947,164.5,1509.25,3.374213124221323
United Arab Emirates,9205852,1.0,1.0,0.010862655623835794
United Kingdom,64911680,1.6666666666666667,7.0,0.010783883578425331
United States,322947900,2.0,1500.0,0.46447120417875454
US Virgin Islands,106365,,,
Uruguay,3438237,,,
Uzbekistan,30102037,8.666666666666666,116.66666666666667,0.38757067060500483
Vanuatu,267568,,,
Vietnam,93953138,,,
Zambia,16462156,1.5,4.0,0.024298153899161203
Zimbabwe,15785496,6.714285714285714,36.42857142857143,0.2307724219028115
