Country,Population
Afghanistan,32956936
Albania,2900114
Algeria,40026405
Angola,25426102
Antigua and Barbuda,92279
Arab Rep of Egypt,92456224
Argentina,43633470
Armenia,3022275
Aruba,104085
Australia,24140741
Austria,8557305
Azerbaijan,9812656
The Bahamas,390416
Bahrain,1386659
Bangladesh,161957600
Barbados,284619
Belarus,9489795
Belgium,11335649
Belize,363123
Benin,11023185
Bhutan,779560
Bolivia,10806839
Bosnia and Herzegovina,3806404
Botswana,2283415
Brazil,208716876
Brunei Darussalam,426057
Bulgaria,7123749
Burkina Faso,18369320
Burundi,11365071
Cote-d-Ivoire,22977830
Cabo Verde,523774
Cambodia,15703317
Cameroon,23634389
Canada,36114451
Caribbean,43345763
Central African Republic,4949280
Central America,173880011
Central Asia,67813926
Chad,14266812
Channel Islands,164078
Chile,18040273
China,1379244905
Hong Kong SAR-China,7317475
Macao SAR China,592417
Colombia,48444033
Comoros,797819
Congo,4680312
Costa Rica,4832775
Croatia,4232565
Cuba,11391861
Curacao,157925
Cyprus,1171019
Czech Republic,10545215
Dem Peoples Rep of Korea,25218790
Dem Rep of Congo,78491334
Denmark,5680117
Djibouti,893751
Dominican Republic,10588830
Ecuador,16265553
El Salvador,6136418
Equatorial Guinea,857333
Eritrea,5289226
Estonia,1310797
Ethiopia,100623815
Federated States of Micronesia,104702
Fiji,894906
Finland,5514121
France,64530488
French Guiana,272171
French Polynesia,284250
FYR Macedonia,2080073
Gabon,1744281
The Gambia,2022910
Georgia,3987931
Germany,80689106
Ghana,27723074
Greece,10935525
Grenada,107075
Guadeloupe,469518
Guam,171009
Guatemala,16508333
Guinea,12777923
Guinea-Bissau,1866426
Guyana,768796
Haiti,10780219
Honduras,8132435
Hungary,9837849
Iceland,330583
India,1318969007
Indonesia,259091099
Islamic Republic of Iran,79583372
Iraq,36991074
Ireland,4699887
Israel,8128083
Italy,59797796
Jamaica,2798325
Japan,126447191
Jordan,7674748
Kazakhstan,17744018
Kenya,46651901
Kiribati,113418
Kuwait,3952959
Kyrgyz Republic,5987493
Lao PDR,6860103
Latvia,1962570
Lebanon,5931765
Lesotho,2147779
Liberia,4559051
Libya,6300666
Lithuania,2862889
Luxembourg,571866
Madagascar,24574914
Malawi,17481936
Malaysia,30543141
Maldives,366763
Mali,17865797
Malta,419145
Martinique,396416
Mauritania,4117111
Mauritius,1275387
Mayotte,243262
Melanesia,9714547
Mexico,127830748
Micronesia,529053
Moldova,4066047
Mongolia,2983187
Montenegro,625967
Morocco,34600607
Mozambique,28364668
Myanmar,54130572
Namibia,2486622
Nepal,28683243
The Netherlands,16952509
New Caledonia,264784
New Zealand,4546614
Nicaragua,6118110
Niger,20306937
Nigeria,184594601
Norway,5241959
Oman,4582748
Pakistan,190882344
Panama,3960285
Papua New Guinea,7700722
Paraguay,6679805
Peru,31574187
Philippines,101476890
Poland,38605135
Polynesia,686939
Portugal,10326662
Puerto Rico,3681650
Qatar,2264961
Reunion,863932
RB-de-Venezuela,31312942
Rep of Korea,50402048
Rep of Yemen,27156519
Romania,19437509
Russian Federation,143455266
Rwanda,11745104
St-Lucia,185663
St-Vincent and the Grenadines,109532
Samoa,193922
Sao Tome and Principe,192372
Saudi Arabia,31856375
Senegal,15357605
Serbia,8830647
Seychelles,96749
Sierra Leone,6522473
Singapore,5650866
Slovak Republic,5427798
Slovenia,2068472
Solomon Islands,589533
Somalia,10929503
South Africa,54740055
South Sudan,12541973
Spain,46080822
Sri Lanka,20764217
West Bank and Gaza,4731710
Sudan,40702142
Suriname,545268
Swaziland,1295506
Sweden,9817348
Switzerland,8340813
Syrian Arab Rep,18498701
Tajikistan,8575498
Tanzania,54309340
Thailand,68059304
Timor-Leste,1198274
Togo,7399873
Tonga,106516
Trinidad and Tobago,1362663
Tunisia,11314621
Turkey,79170742
Turkmenistan,5405729
Uganda,39671777
Ukraine,44728947
United Arab Emirates,9205852
United Kingdom,64911680
United States,322947900
US Virgin Islands,106365
Uruguay,3438237
Uzbekistan,30102037
Vanuatu,267568
Vietnam,93953138
Zambia,16462156
Zimbabwe,15785496
