Country,Population,Conflict Count,Conflict Deaths,Homocide Count,Homocide Rate,Conflict Death Rate
Afghanistan,32956936,2425.0,18714.0,712.0,2.4,56.783191252973275
Albania,2900114,,,1542.0,49.9,
Algeria,40026405,248.0,1178.0,516.0,1.5,2.9430572143563727
Angola,25426102,129.0,2154.0,3426.0,19.0,8.471609214813974
Antigua and Barbuda,92279,,,17.0,19.8,
Arab Rep of Egypt,92456224,,,,,
Argentina,43633470,,,3453.0,9.2,
Armenia,3022275,8.0,16.0,116.0,3.6,0.5294025196251169
Aruba,104085,,,,,
Australia,24140741,,,343.0,1.8,
Austria,8557305,,,99.0,1.2,
Azerbaijan,9812656,43.0,137.0,206.0,2.2,1.39615614773411
The Bahamas,390416,,,,,
Bahrain,1386659,24.0,26.0,7.0,1.0,1.875010366643854
Bangladesh,161957600,73.0,105.0,4219.0,2.9,0.0648317831333633
Barbados,284619,,,35.0,12.9,
Belarus,9489795,,,1036.0,10.2,
Belgium,11335649,3.0,34.0,318.0,3.1,0.29993871546304934
Belize,363123,,,129.0,41.4,
Benin,11023185,,,1262.0,15.1,
Bhutan,779560,1.0,0.0,19.0,3.2,0.0
Bolivia,10806839,9.0,50.0,884.0,8.9,0.4626699814811713
Bosnia and Herzegovina,3806404,,,73.0,1.9,
Botswana,2283415,,,287.0,14.5,
Brazil,208716876,17.0,87.0,43635.0,22.8,0.041683260916572935
Brunei Darussalam,426057,,,5.0,1.4,
Bulgaria,7123749,,,494.0,5.9,
Burkina Faso,18369320,2.0,26.0,2786.0,18.0,0.14154035097651954
Burundi,11365071,193.0,2071.0,1726.0,21.7,18.222499445889955
Cote-d-Ivoire,22977830,102.0,998.0,10801.0,56.9,4.343317014705043
Cabo Verde,523774,,,,,
Cambodia,15703317,4.0,10.0,793.0,6.8,0.06368081342304942
Cameroon,23634389,97.0,1259.0,3700.0,19.7,5.326983490032258
Canada,36114451,8.0,23.0,663.0,2.1,0.06368641738455334
Caribbean,43345763,,,,,
Central African Republic,4949280,394.0,3192.0,1240.0,29.3,64.49422946367957
Central America,173880011,,,,,
Central Asia,67813926,,,,,
Chad,14266812,62.0,1956.0,1686.0,15.8,13.710140709781554
Channel Islands,164078,,,,,
Chile,18040273,,,630.0,3.7,
China,1379244905,16.0,189.0,26276.0,2.0,0.013703150130541901
Hong Kong SAR-China,7317475,,,69.0,1.0,
Macao SAR China,592417,,,42.0,9.7,
Colombia,48444033,660.0,3427.0,28837.0,71.8,7.074142650344574
Comoros,797819,,,85.0,12.2,
Congo,4680312,547.0,8111.0,1180.0,30.8,173.30041245113574
Costa Rica,4832775,,,527.0,11.4,
Croatia,4232565,,,166.0,3.6,
Cuba,11391861,,,687.0,6.1,
Curacao,157925,,,,,
Cyprus,1171019,,,20.0,1.9,
Czech Republic,10545215,,,234.0,2.3,
Dem Peoples Rep of Korea,25218790,,,,,
Dem Rep of Congo,78491334,,,,,
Denmark,5680117,,,88.0,1.7,
Djibouti,893751,2.0,35.0,29.0,3.4,3.9160795344564647
Dominican Republic,10588830,,,2513.0,25.8,
Ecuador,16265553,1.0,26.0,2638.0,18.5,0.15984700919790432
El Salvador,6136418,,,7977.0,139.1,
Equatorial Guinea,857333,,,137.0,20.7,
Eritrea,5289226,9.0,1793.0,879.0,17.8,33.89909979267288
Estonia,1310797,,,246.0,17.1,
Ethiopia,100623815,148.0,48666.0,20239.0,25.5,48.36429626525292
Federated States of Micronesia,104702,,,,,
Fiji,894906,,,25.0,3.1,
Finland,5514121,,,156.0,3.0,
France,64530488,2.0,133.0,1171.0,2.0,0.20610412864071323
French Guiana,272171,,,58.0,29.8,
French Polynesia,284250,,,9.0,3.4,
FYR Macedonia,2080073,53.0,72.0,70.0,3.5,3.4614169791156364
Gabon,1744281,,,200.0,13.8,
The Gambia,2022910,,,,,
Georgia,3987931,13.0,621.0,403.0,9.0,15.571984570445174
Germany,80689106,1.0,12.0,1372.0,1.7,0.014871896089665437
Ghana,27723074,10.0,55.0,3646.0,15.7,0.19839069794352532
Greece,10935525,,,203.0,1.9,
Grenada,107075,,,15.0,14.8,
Guadeloupe,469518,,,32.0,7.0,
Guam,171009,,,11.0,6.4,
Guatemala,16508333,5.0,58.0,6498.0,46.3,0.35133771532231634
Guinea,12777923,26.0,430.0,2152.0,22.5,3.3651791453118007
Guinea-Bissau,1866426,2.0,0.0,294.0,20.2,0.0
Guyana,768796,3.0,29.0,206.0,27.8,3.772132009011494
Haiti,10780219,22.0,231.0,689.0,6.9,2.1428136107439006
Honduras,8132435,8.0,58.0,7104.0,91.6,0.7131935269079925
Hungary,9837849,,,296.0,2.9,
Iceland,330583,,,5.0,1.8,
India,1318969007,1287.0,3979.0,45559.0,4.5,0.3016750188126293
Indonesia,259091099,359.0,1063.0,18963.0,8.1,0.4102804010260499
Islamic Republic of Iran,79583372,23.0,206.0,2215.0,3.0,0.25884804177435455
Iraq,36991074,792.0,15010.0,608.0,2.0,40.57735658067133
Ireland,4699887,,,77.0,1.8,
Israel,8128083,375.0,1682.0,227.0,3.6,20.693686321854734
Italy,59797796,,,1012.0,1.8,
Jamaica,2798325,20.0,116.0,1682.0,62.4,4.145336942635327
Japan,126447191,,,716.0,0.6,
Jordan,7674748,4.0,59.0,100.0,1.8,0.7687548828964808
Kazakhstan,17744018,,,2625.0,16.7,
Kenya,46651901,116.0,783.0,7733.0,20.1,1.67838819687112
Kiribati,113418,,,7.0,7.3,
Kuwait,3952959,1.0,26.0,99.0,4.5,0.6577351295573771
Kyrgyz Republic,5987493,,,,,
Lao PDR,6860103,4.0,73.0,279.0,4.6,1.0641239643194862
Latvia,1962570,,,348.0,14.0,
Lebanon,5931765,152.0,747.0,252.0,6.0,12.593216352974197
Lesotho,2147779,,,764.0,35.2,
Liberia,4559051,53.0,3281.0,371.0,10.1,71.96673167288543
Libya,6300666,221.0,2232.0,176.0,2.9,35.42482651833949
Lithuania,2862889,,,502.0,13.8,
Luxembourg,571866,,,12.0,2.5,
Madagascar,24574914,32.0,113.0,1588.0,8.1,0.4598184962112177
Malawi,17481936,,,5039.0,36.0,
Malaysia,30543141,14.0,70.0,629.0,2.8,0.22918402531029797
Maldives,366763,,,5.0,1.6,
Mali,17865797,83.0,874.0,1157.0,8.0,4.892029166121164
Malta,419145,,,7.0,1.7,
Martinique,396416,,,23.0,5.8,
Mauritania,4117111,6.0,12.0,485.0,14.7,0.29146651620517394
Mauritius,1275387,,,50.0,3.9,
Mayotte,243262,,,,,
Melanesia,9714547,,,,,
Mexico,127830748,275.0,3313.0,25757.0,22.7,2.5917082171810493
Micronesia,529053,,,1.0,0.9,
Moldova,4066047,,,433.0,10.5,
Mongolia,2983187,,,398.0,15.6,
Montenegro,625967,,,25.0,4.0,
Morocco,34600607,2.0,46.0,543.0,1.9,0.13294564456629332
Mozambique,28364668,13.0,31.0,1925.0,8.8,0.10929089668879607
Myanmar,54130572,262.0,955.0,4800.0,10.2,1.7642525558385012
Namibia,2486622,15.0,66.0,407.0,22.6,2.654203172014082
Nepal,28683243,1529.0,4433.0,936.0,3.5,15.455016714811503
The Netherlands,16952509,,,,,
New Caledonia,264784,,,,,
New Zealand,4546614,,,65.0,1.6,
Nicaragua,6118110,,,802.0,15.2,
Niger,20306937,43.0,533.0,552.0,3.8,2.624718833766018
Nigeria,184594601,545.0,10271.0,18422.0,12.2,5.564084726399988
Norway,5241959,,,51.0,1.1,
Oman,4582748,,,18.0,0.7,
Pakistan,190882344,962.0,7460.0,13860.0,7.8,3.908166592924907
Panama,3960285,,,818.0,23.6,
Papua New Guinea,7700722,6.0,65.0,854.0,13.0,0.8440766982628383
Paraguay,6679805,,,1372.0,24.7,
Peru,31574187,13.0,54.0,3332.0,11.7,0.17102578128139925
Philippines,101476890,211.0,1761.0,6553.0,8.1,1.7353704868172448
Poland,38605135,,,2170.0,5.7,
Polynesia,686939,,,,,
Portugal,10326662,,,185.0,1.7,
Puerto Rico,3681650,,,983.0,26.2,
Qatar,2264961,1.0,0.0,30.0,2.5,0.0
Reunion,863932,,,,,
RB-de-Venezuela,31312942,50.0,31.0,14589.0,52.0,0.09900059853845736
Rep of Korea,50402048,,,,,
Rep of Yemen,27156519,449.0,6984.0,,,25.717581844712864
Romania,19437509,,,758.0,3.3,
Russian Federation,143455266,388.0,4333.0,27343.0,18.9,3.020453776858913
Rwanda,11745104,26.0,2044.0,1708.0,17.1,17.402996176108786
St-Lucia,185663,,,44.0,26.2,
St-Vincent and the Grenadines,109532,,,36.0,33.0,
Samoa,193922,,,2.0,1.1,
Sao Tome and Principe,192372,,,3.0,1.9,
Saudi Arabia,31856375,41.0,115.0,301.0,1.3,0.3609952482038524
Senegal,15357605,23.0,129.0,1027.0,8.7,0.8399747226211379
Serbia,8830647,1.0,0.0,243.0,2.4,0.0
Seychelles,96749,,,7.0,8.3,
Sierra Leone,6522473,59.0,856.0,837.0,14.9,13.123856549502005
Singapore,5650866,,,51.0,1.5,
Slovak Republic,5427798,,,,,
Slovenia,2068472,,,44.0,2.2,
Solomon Islands,589533,,,26.0,5.5,
Somalia,10929503,446.0,2989.0,138.0,1.5,27.3479956041917
South Africa,54740055,4.0,3.0,26877.0,64.9,0.005480447544307363
South Sudan,12541973,125.0,2491.0,,,19.86130890251478
Spain,46080822,15.0,191.0,587.0,1.4,0.4144891338960924
Sri Lanka,20764217,1016.0,10418.0,2045.0,10.2,50.17285265319661
West Bank and Gaza,4731710,,,,,
Sudan,40702142,363.0,7393.0,10028.0,24.2,18.163663229320953
Suriname,545268,,,79.0,16.7,
Swaziland,1295506,,,141.0,12.9,
Sweden,9817348,,,114.0,1.2,
Switzerland,8340813,,,89.0,1.2,
Syrian Arab Rep,18498701,,,533.0,2.8,
Tajikistan,8575498,21.0,98.0,498.0,8.4,1.1427907743666899
Tanzania,54309340,7.0,37.0,10357.0,24.5,0.06812824460764944
Thailand,68059304,445.0,541.0,6434.0,9.8,0.7948949933428646
Timor-Leste,1198274,,,75.0,6.9,
Togo,7399873,93.0,436.0,627.0,10.9,5.891993011231409
Tonga,106516,,,1.0,1.0,
Trinidad and Tobago,1362663,,,547.0,41.1,
Tunisia,11314621,8.0,72.0,117.0,1.1,0.6363447790252983
Turkey,79170742,230.0,1547.0,3305.0,4.9,1.9540046751109141
Turkmenistan,5405729,,,358.0,8.3,
Uganda,39671777,251.0,2009.0,11373.0,36.3,5.064053470556663
Ukraine,44728947,271.0,4398.0,4896.0,10.0,9.832558767815392
United Arab Emirates,9205852,1.0,1.0,56.0,1.4,0.010862655623835794
United Kingdom,64911680,4.0,53.0,1220.0,2.1,0.08164940423664893
United States,322947900,3.0,2986.0,14990.0,5.0,0.924607343785174
US Virgin Islands,106365,,,43.0,39.2,
Uruguay,3438237,,,231.0,6.9,
Uzbekistan,30102037,16.0,297.0,1157.0,5.0,0.9866441928830265
Vanuatu,267568,,,2.0,0.9,
Vietnam,93953138,,,1346.0,1.6,
Zambia,16462156,2.0,7.0,4710.0,38.0,0.042521769323532105
Zimbabwe,15785496,40.0,253.0,1775.0,14.3,1.602737094862271
